City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
211,Muncar,ID,79.75,moderate rain,-8.4333,114.3333,Zaky Homestay
215,Tucuma,BR,77.27,overcast clouds,-0.1833,-50.05,
219,Muli,MV,81.25,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
225,Bubaque,GW,78.01,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
228,Mananjary,MG,77.16,broken clouds,-21.2167,48.3333,Vahiny Lodge
230,Mattru,SL,75.02,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
236,Robertsport,LR,80.73,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
237,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
242,Faanui,PF,81.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
253,Saint-Philippe,RE,77.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
258,Barra Dos Coqueiros,BR,80.6,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
259,Ambulu,ID,78.93,light rain,-8.345,113.6058,Hotel Ambulu Jember
261,Kahului,US,86.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
263,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
265,Santarem,BR,82.4,few clouds,-2.4431,-54.7083,Hotel Imperador
266,Pandan,PH,79.97,scattered clouds,14.0453,124.1694,Bonifacio Lodge
271,Takoradi,GH,78.78,scattered clouds,4.8845,-1.7554,Raybow International Hotel
272,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
277,Cockburn Town,TC,78.19,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
281,Angoche,MZ,78.91,overcast clouds,-16.2325,39.9086,Guest House HESADA
283,Boa Vista,BR,82.4,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
288,Ipixuna,BR,78.8,light rain,-1.7625,-48.8043,Casa da Oscarina
291,Upata,VE,79.0,broken clouds,8.0086,-62.3989,Posada Villa Nela
293,Dingle,PH,78.31,light rain,10.9995,122.6711,SEGAYA PROPERTY
294,Thinadhoo,MV,81.68,overcast clouds,0.5333,72.9333,
298,Veracruz,MX,75.2,broken clouds,19.3333,-96.6667,El Carrizal
300,Ballina,AU,82.4,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
302,Geraldton,AU,87.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
307,Pochutla,MX,82.4,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
310,Lahaina,US,86.0,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
311,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
312,Ternate,ID,82.4,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
319,Candido Mendes,BR,76.24,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
