City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
59,Kerema,-7.9631,145.7785,84.34,75,68,9.6,PG,2021-01-14 23:46:59,moderate rain
60,Buluang,13.3068,123.3425,78.12,89,69,3.33,PH,2021-01-14 23:47:00,broken clouds
61,Chester,40.1254,-75.8749,41.0,65,20,3.27,US,2021-01-14 23:47:00,few clouds
62,Katsuura,35.1333,140.3,46.99,76,75,9.22,JP,2021-01-14 23:47:00,light rain
63,Kodiak,57.79,-152.4072,39.2,93,90,23.02,US,2021-01-14 23:47:00,light rain
64,Jatiroto,-7.8833,111.1167,76.01,77,100,3.53,ID,2021-01-14 23:47:00,moderate rain
65,Namibe,-15.1961,12.1522,72.32,72,13,5.01,AO,2021-01-14 23:47:00,few clouds
66,Ola,59.5833,151.2833,-18.76,79,0,7.07,RU,2021-01-14 23:47:00,clear sky
67,Torbay,47.6666,-52.7314,33.01,100,90,2.3,CA,2021-01-14 23:47:00,snow
68,Salalah,17.0151,54.0924,75.2,13,0,5.75,OM,2021-01-14 23:47:00,clear sky
69,Ostrovnoy,68.0531,39.5131,-0.06,93,61,20.42,RU,2021-01-14 23:47:01,broken clouds
70,Halifax,44.6453,-63.5724,37.4,100,90,5.53,CA,2021-01-14 23:44:50,light intensity drizzle
71,Tamala,52.541,43.2515,14.2,97,100,3.8,RU,2021-01-14 23:47:01,overcast clouds
72,Alamos,27.0167,-108.9333,79.0,38,0,5.1,MX,2021-01-14 23:47:01,clear sky
73,Novoulyanovsk,54.1496,48.3891,14.0,85,90,8.95,RU,2021-01-14 23:47:01,overcast clouds
74,Tasiilaq,65.6145,-37.6368,37.4,75,75,12.66,GL,2021-01-14 23:47:01,light snow
75,Pevek,69.7008,170.3133,-18.08,89,75,2.19,RU,2021-01-14 23:47:01,broken clouds
76,Mar Del Plata,-38.0023,-57.5575,69.01,73,0,14.97,AR,2021-01-14 23:44:03,clear sky
77,Saint George,37.1041,-113.5841,60.8,23,1,4.61,US,2021-01-14 23:43:02,clear sky
78,Kedougou,12.5579,-12.1743,73.89,18,31,2.84,SN,2021-01-14 23:47:02,scattered clouds
79,Khani,41.9563,42.9566,48.2,93,90,13.8,GE,2021-01-14 23:47:02,overcast clouds
80,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,10.36,CA,2021-01-14 23:47:02,overcast clouds
81,Homer,59.6425,-151.5483,37.4,65,90,17.27,US,2021-01-14 23:47:02,light snow
82,San Pedro De Macoris,18.4616,-69.2972,79.0,83,75,6.29,DO,2021-01-14 23:47:02,broken clouds
83,Manokwari,-0.8667,134.0833,82.31,72,100,4.09,ID,2021-01-14 23:47:02,light rain
84,Jamestown,42.097,-79.2353,34.0,93,1,6.91,US,2021-01-14 23:44:30,clear sky
85,Marang,5.2056,103.2059,71.6,94,20,2.3,MY,2021-01-14 23:47:02,few clouds
86,Comodoro Rivadavia,-45.8667,-67.5,77.0,33,0,6.91,AR,2021-01-14 23:47:02,clear sky
87,Lebu,-37.6167,-73.65,57.25,78,13,3.11,CL,2021-01-14 23:47:03,few clouds
88,Sao Filipe,14.8961,-24.4956,72.99,69,100,10.04,CV,2021-01-14 23:47:03,overcast clouds
89,Cardston,49.2,-113.3019,35.6,35,0,8.05,CA,2021-01-14 23:47:03,clear sky
90,Sao Sepe,-30.1606,-53.5653,75.2,64,0,11.5,BR,2021-01-14 23:47:03,clear sky
91,Korla,41.7597,86.1469,17.78,84,0,9.73,CN,2021-01-14 23:47:03,clear sky
92,Thompson,55.7435,-97.8558,26.6,93,90,12.66,CA,2021-01-14 23:47:03,snow
93,Northam,51.0333,-4.2167,46.0,87,17,10.0,GB,2021-01-14 23:47:03,few clouds
94,East London,-33.0153,27.9116,75.25,90,99,10.47,ZA,2021-01-14 23:47:03,light rain
95,Camacha,33.0833,-16.3333,55.4,62,40,9.22,PT,2021-01-14 23:47:04,scattered clouds
96,Puerto Penasco,31.3167,-113.5333,72.54,26,5,15.19,MX,2021-01-14 23:46:54,clear sky
97,Hasaki,35.7333,140.8333,41.0,81,75,5.75,JP,2021-01-14 23:47:04,light rain
98,Port Elizabeth,-33.918,25.5701,68.0,100,90,8.05,ZA,2021-01-14 23:47:04,fog
99,Koceljeva,44.4736,19.8117,32.0,86,75,14.97,RS,2021-01-14 23:47:04,broken clouds
100,Mandalgovi,45.7625,106.2708,-10.41,82,14,8.95,MN,2021-01-14 23:47:04,few clouds
101,Souillac,-20.5167,57.5167,77.0,94,40,1.14,MU,2021-01-14 23:47:04,light rain
102,Morehead,37.2711,-87.1764,51.01,50,40,3.44,US,2021-01-14 23:47:04,scattered clouds
103,Maraa,-1.8333,-65.3667,74.75,95,100,1.61,BR,2021-01-14 23:47:04,moderate rain
104,Talnakh,69.4865,88.3972,-41.75,79,26,0.6,RU,2021-01-14 23:47:04,scattered clouds
105,Lagoa,39.05,-27.9833,62.01,88,94,25.46,PT,2021-01-14 23:47:05,overcast clouds
106,Tibagi,-24.5094,-50.4136,67.05,87,22,7.09,BR,2021-01-14 23:47:05,few clouds
107,Vallenar,-28.5708,-70.7581,69.85,49,0,2.91,CL,2021-01-14 23:47:05,clear sky
108,Dawei,14.0833,98.2,65.89,68,22,3.87,MM,2021-01-14 23:47:05,few clouds
109,Kapaa,22.0752,-159.319,79.0,73,20,8.05,US,2021-01-14 23:47:05,few clouds
110,Jos,9.9167,8.9,59.92,29,13,2.82,NG,2021-01-14 23:47:05,few clouds
111,Flinders,-34.5833,150.8552,78.01,68,48,3.0,AU,2021-01-14 23:47:05,scattered clouds
112,Ulagan,50.6321,87.9563,-15.77,77,43,1.25,RU,2021-01-14 23:47:05,scattered clouds
113,Sergeyevka,53.88,67.4158,-3.98,85,39,7.56,KZ,2021-01-14 23:47:05,scattered clouds
114,Port Lincoln,-34.7333,135.8667,62.06,56,46,19.22,AU,2021-01-14 23:47:05,scattered clouds
115,Bardiyah,31.7561,25.0865,56.01,69,3,11.54,LY,2021-01-14 23:47:05,clear sky
116,Vanimo,-2.6741,141.3028,79.7,80,100,4.94,PG,2021-01-14 23:47:05,light rain
117,Marawi,7.9986,124.2928,78.01,91,65,4.0,PH,2021-01-14 23:47:05,broken clouds
118,Codrington,-38.2667,141.9667,59.68,57,48,24.47,AU,2021-01-14 23:47:05,light rain
119,Kavaratti,10.5669,72.642,82.4,72,96,7.74,IN,2021-01-14 23:47:06,light rain
120,Leningradskiy,69.3833,178.4167,-3.62,91,100,8.99,RU,2021-01-14 23:47:06,overcast clouds
121,Natal,-5.795,-35.2094,80.6,74,20,10.36,BR,2021-01-14 23:47:06,few clouds
122,Yamandu,7.9362,-11.4928,73.4,93,0,1.21,SL,2021-01-14 23:47:06,clear sky
123,Qaanaaq,77.484,-69.3632,7.32,75,69,3.87,GL,2021-01-14 23:47:06,broken clouds
124,Victoria,22.2855,114.1577,60.01,61,54,8.14,HK,2021-01-14 23:46:51,broken clouds
125,Los Llanos De Aridane,28.6585,-17.9182,60.8,59,0,12.66,ES,2021-01-14 23:47:06,clear sky
126,Bredasdorp,-34.5322,20.0403,68.0,94,73,2.3,ZA,2021-01-14 23:47:06,broken clouds
127,Avarua,-21.2078,-159.775,86.0,66,75,14.97,CK,2021-01-14 23:47:06,broken clouds
128,Chegdomyn,51.1167,133.0167,-19.71,86,100,0.58,RU,2021-01-14 23:47:06,light snow
